#,Data,Evento,,Location,Città,Tipologia,Artista/i
206,08/07/2017,Gazzelle,,Covo Club,Bologna,Concerto,1
207,12/07/2017,Selton @ Botanique,,Giardini FIlippo Re,Bologna,Concerto,1
208,15/07/2017,U2 - The Joshua Tree Tour 2017,,Stadio Olimpico,Roma,Concerto,1
209,18/07/2017,Akexander Romanovsky,,Piazza Verdi,Bologna,Concerto,1
210,19/07/2017,Carl Brave X Franco 126,,Covo Club,Bologna,Concerto,1
211,10/08/2017,Biffy Clyro + Sziget Festival 25th edition,,Island of freedom,"Budapest (HU)





",Festival,2
212,11/08/2017,PJ Harvey + Kasabian + Sziget Festival 25th edition,,Island of freedom,,,2
213,12/08/2017,Crystlal Fighters + Bad Religion +  Goran Bregovic Wedding and Funeral Band @ Sziget Festival 25th edition,,Island of freedom,,,3
214,13/08/2017,White Lies @ Sziget Festival 25th edition,,Island of freedom,,,1
215,14/08/2017,Two Doors Cinema Club + Cosmo @ Sziget Festival 25th edition,,Island of freedom,,,2
216,15/08/2017,alt J + Interpol è@ Sziget Festival 25th edition,,Island of freedom,,,2
217,31/08/2017,Home Festival - Day 1,,Ex Dogana,Treviso,Festival,10
218,01/09/2017,Home Festival - Day 2,,Ex Dogana,Treviso,Festival,10
219,02/09/2017,Home Festival - Day 3,,Ex Dogana,Treviso,Festival,10
220,03/09/2017,Home Festival - Day 4,,Ex Dogana,Treviso,Festival,10
221,31/08/2017,Max Gazzè & Carmen Consoli @ Festa dell' Unità,,Arena Parco Nord,Bologna,Concerto,1
222,01/09/2017,Iosonouncane,,Arena Puccini,Bologna,Concerto,1
223,02/09/2017,Colombre + Altre di B ,,Arena Puccini,Bologna,Concerto,2
224,03/09/2017,Coez ,,Arena Puccini,Bologna,Concerto,1
225,12/09/2017,Funky Jam,,Cortile Cafè,Bologna,Concerto,1
226,01/09/2017,Iosonouncane,,Arena Puccini,Bologna,,
227,19/09/2017,Blues Jam,,Cortile Cafè,Bologna,Concerto,1
228,23/09/2017,Zucchero,,Arena di Verona,Verona,Concerto,1
229,30/09/2017,His Clancyness + Dead Horses,,Covo Club,Bologna,Concerto,2
230,08/07/2017,Kratakoa,,TPO,Bologna,Concerto,4
231,27/10/2017,Tycho,,Estragon,Bologna,Concerto,2
232,28/10/2017,Indie Pride,,TPO,Bologna,Concerto,5
233,4/11/2017,Queens Of The Stone Age,,Unipol Arena,Casalecchio di Reno (BO),Concerto,1
234,8/11/2017,W.A.S.P.,,Estragon Club,Bologna,Concerto,2
235,11/11/2017,Gazebo Penguins,,Covo Club,Bologna,Concerto,1
236,25/11/2017,Caparezza,,Unipol Arena,Casalecchio di Reno (BO),Concerto,1
237,30/11/2017,Testament + Annhilator,,Estragon Club,Bologna,Concerto,2
238,2/12/2017,Tubax + PoiL,,Covo Club,Bologna,Concerto,2
239,15/12/2017,Mando Diao,,Covo Club,Bologna,Concerto,2
240,16/12/2017,Willie Peyote,,Estragon,Bologna,Concerto,1
241,19/12/2017,Elio e Le Storie Tese,,Mediolanum Forum,Assago (MI),Concerto,1
242,23/12/2017,Bradipos IV,,Club 33 Giri ,Santa Maria Capua Vetere (CE),Concerto,1
243,26/12/2017,Vittorio Piano Terra,,Club 33 Giri ,Santa Maria Capua Vetere (CE),Concerto,1
244,29/12/2017,Joe Victor,,Magazzini Fermi,Aversa (CE),Concerto,1
245,30/12/2017,Mòn / open act Löve ,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,2
246,18/01/2018,Colapesce,,Teatro Antoniano,Bologna,Concerto,1
247,20/01/2018,Andrea Laszlo De Simone ,,Covo Club,Bologna,Concerto,1
248,26/01/2018,Fine Before You Came,,Covo Club,Bologna,Concerto,1
249,10/02/2018,Calibro 35,,Locomotiv Club,Bologna,Concerto,2
250,12/02/2018,Metallica ,,Unipol Arena,Casalecchio di Reno (BO),Concerto,1
251,16/02/2018,La Rappresenta di Lista,,Mercato Sonato,Bologna,Concerto,1
252,17/02/2018,Baciamolemani ,,Club 33 Giri,Santa Maria Capua Vetere (CE),Concerto,1
253,24/02/2018,The Soft Moon,,Covo Club,Bologna,Concerto,1
254,02/03/2018,Pinguini Tattici Nucleari ,,Covo Club,Bologna,Concerto,1
255,03/03/2018,Slowdive ,,Locomotiv Club,Bologna,Concerto,1
256,12/03/2018,"Ministri presentano ""Fidatevi""",,Piazza Ravegnana,Bologna,Presentazione Album,1
257,13/03/2018,Iosonouncane + Paolo Angeli ,,Teatro Duse,Bologna,Concerto,1
258,15/03/2018,Franz Ferdinand ,,Unipol Arena,Casalecchio di Reno (BO),Concerto,2
259,16/03/2018,Tubax ,,Mercato Sonato,Bologna,Concerto,3
260,17/03/2018,Cosmo in Cosmotronic,,LINK,Bologna,Concerto,2
261,23/03/2018,"It's a wave | Suvari, San Diego, Le Mandorle",,Covo Club,Bologna,Concerto,3
262,24/03/2018,Soviet Soviet ,,Covo Club,Bologna,Concerto,1
263,26/03/2018,Marcus Miller ,,Teatro Manzoni,Bologna,Concerto,1
264,28/3/2018,Fede N' Marlen ,,L' Altro Spazio,Bologna,Concerto,1
265,31/3/2018,Siberia ,,Covo Club,Bologna,Concerto,1
266,05/04/2018,Ministri ,,Estragon Club,Bologna,Concerto,2
267,10/04/2018,Afterhours,,Mediloanum Fourm,Bologna,Concerto,1
268,12/4/2018,Baustelle ,,Estragon Club,Bologna,Concerto,2
269,13/4/2018,The Zen Circus ,,Estragon Club,Bologna,Concerto,1
270,19/4/2018,Bud Spencer Blues Explosion ,,Locomotiv Club,Bologna,Concerto,2
271,20/4/2018,Ministri,,Vox Club,Bologna,Festival,2
272,21/04/2018,Roger Waters | Us and them world tour,,Unipol Arena,Casalecchio di Reno (BO),Festival,1
273,10/05/2018,Elio e le Storie Tese ,,Unipol Arena,Casalecchio di Reno (BO),Concerto,2
274,12/05/2018,Shame ,,Covo Club,Bologna,Concerto,1
275,16/5/2018,Her Skin ,,Off Club,Bologna,Concerto,1
276,26/05/2018,Tre Allegri Ragazzi Morti + Prozac+  + Giorgeness at MiAmi Festival,,Circolo Magnolia,Milano,Festival,1
277,1/6/2018,Bud Spencer Blues Explosion ,,Parco del Cavaticcio,Bologna,Concerto,1
278,03/06/2018,Colapesce @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
279,04/06/2018,Andrea Laszlo De Simone @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
280,05/06/2018,Coma_Cose @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
281,06/06/2018,Cimini @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
282,07/06/2018,Willie Peyote @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
283,08/06/2018,Pinguini Tattici Nucleari @ Biografilm,,Parco del Cavaticcio,Bologna,Concerto,1
284,10/6/2018,Jovanotti per La Repubblica delle Idee,,Piazza Maggiore,Bologna,Concerto,1
285,12/6/2018,Lo Stato Sociale ,,Piazza Maggiore,Bologna,Concerto,1
286,14/06/2018,The Kills + Foo Fighters @ Firenze Rocks,,Ipoddromo del Visarno,Firenze,Festival,1
287,16/06/2018,Helloween + Iron Maiden @ Firenze Rocks,,Ipoddromo del Visarno,Firenze,Festival,2
,20/04/2018,"Ministri ""Fidatevi "" Tour",,VOX, Nonantola (MO),Concerto,1
288,20/06/2018,Galeffi ,,Parco del Cavaticcio,Bologna,Concerto,1
289,26/6/2018,Cesare Cremonini,,Stadio Renato Dall' Ara,Bologna,Concerto,1
290,1/7/2018,Ancora #5 Festival ,,Covo Club,Bologna,Festival,4
291,03/07/2018,Paolo Fresu & Daniele Di Bonaventura @ Botanique,,Giardfini FIlippo Re,Bologna,Concerto,1
292,07/07/2018,Japandroids ,,Covo Club,Bologna,Concerto,1
293,11/7/2018,JoyCut @ Botanique,,Giardfini FIlippo Re,Bologna,Concerto,1
